month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2024-07,Molestation,134,104,194,159,1305,1226,1246,1116,,
2024-07,Other I.P.C.,2539,1789,3479,2597,18974,15034,12470,8529,,
2024-06,Murder,8,8,11,11,56,54,70,69,,
2024-06,Att.to.C.Murder,21,21,28,26,178,175,135,133,,
2024-06,Dacoity,0,0,1,1,11,11,14,12,,
2024-06,Prep.for Dacoity,1,1,1,1,6,6,13,13,,
2024-06,Robbery,53,50,44,38,310,300,305,290,,
2024-06,Robbery Chain Snatching,16,9,13,8,78,64,64,56,,
2024-06,Att.to.C.Robbery,1,0,3,3,7,6,10,10,,
2024-06,Extortion,15,9,17,10,119,98,129,87,,
2024-06,H.B.T.Day,15,6,12,5,125,72,107,61,,
2024-06,H.B.T.Night.,110,41,94,24,531,311,516,315,,
2024-06,Thefts.,678,148,838,147,"5,129","1,556","2,878","1,121",,
2024-06,M.V.Thefts.,223,52,189,36,"1,307",676,5,3,,
2024-06,Snatching,16,9,13,8,78,64,"1,287",643,,
2024-06,Hurt,394,337,391,327,"2,333","2,224","2,280","2,074",,
2024-06,Riots.,23,18,31,27,161,155,139,112,,
2024-06,Rape,63,49,74,54,476,440,485,431,,
2024-06,Molestation,193,158,182,146,"1,171","1,096","1,081",926,,
2024-06,Other I.P.C.,"3,479","2,597","2,417","1,645","16,434","12,854","10,313","6,684",,
2024-05,Murder,11,11,10,8,48,46,52,51,,
2024-05,Att.to.C.Murder,28,26,42,39,157,154,117,115,,
2024-05,Dacoity,1,1,5,5,11,11,12,10,,
2024-05,Prep.for Dacoity,1,1,0,0,5,5,10,10,,
2024-05,Robbery,44,38,49,43,256,245,259,247,,
2024-05,Robbery Chain Snatching,13,8,14,9,62,52,50,42,,
2024-05,Att.to.C.Robbery,3,3,0,0,6,6,10,10,,
2024-05,Extortion,17,10,21,15,104,79,110,68,,
2024-05,H.B.T.Day,12,5,20,8,109,64,92,51,,
2024-05,H.B.T.Night.,94,24,70,30,422,248,442,253,,
2024-05,Thefts.,838,147,822,174,"4,451","1,298","2,425",915,,
2024-05,M.V.Thefts.,0,0,0,0,1,1,6,3,,
2024-05,Snatching,189,36,240,73,"1,084",557,"1,045",526,,
2024-05,Hurt,391,327,391,343,"1,940","1,827","1,931","1,722",,
2024-05,Riots.,31,27,22,19,137,131,118,92,,
2024-05,Rape,74,54,83,60,397,357,408,357,,
2024-05,Molestation,182,146,211,175,978,899,897,755,,
2024-05,Other I.P.C.,"2,417","1,645","2,400","1,611","12,968","9,930","8,802","5,567",,
2024-04,Murder,10,8,8,8,37,34,37,35,,
2024-04,Att.to.C.Murder,42,39,35,33,129,125,95,94,,
2024-04,Dacoity,5,5,1,1,10,10,12,10,,
2024-04,Prep.for Dacoity,0,0,1,1,4,4,9,9,,
2024-04,Robbery,49,43,62,57,212,202,210,199,,
2024-04,Robbery Chain Snatching,14,9,10,9,49,41,40,33,,
2024-04,Att.to.C.Robbery,0,0,0,0,3,3,9,9,,
2024-04,Extortion,21,15,21,11,87,67,86,54,,
2024-04,H.B.T.Day,20,8,31,10,97,55,72,39,,
2024-04,H.B.T.Night.,70,30,100,45,328,210,336,190,,
2024-04,Thefts.,822,174,940,215,"3,613","1,064","1,961",707,,
2024-04,M.V.Thefts.,0,0,0,0,1,1,5,3,,
2024-04,Snatching,240,73,221,85,895,478,820,410,,
2024-04,Hurt,391,343,495,421,"1,549","1,459","1,561","1,334",,
2024-04,Riots.,22,19,41,36,106,103,107,83,,
2024-04,Rape,83,60,81,65,316,280,325,285,,
2024-04,Molestation,211,175,231,186,796,723,713,572,,
